Name,max_number_of_traces,labels_to_split,original labels,original_precision,original_simplicity,original_generalization,original_fitness,Xixi number of Clusters found,Xixi Precision,Xixi ARI,use_combined_context,use_frequency,window_size,distance_metric,threshold,Number of Clusters found,Precision Align,ARI,Simplicity,Generalization,Fitness
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.9872532378384495,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.1,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.8734842263540036,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.2,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.9872532378384495,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.3,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.8734842263540036,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.4,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.8734842263540036,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.5,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.8208791147314985,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.6,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.8032365776547584,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.7,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.8208791147314985,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.8,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.8209101551584679,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.9,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.8208791147314985,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,1,386,0.8036380527652368,0.8036380527652368,0.41755888650963596,0.1784296126919488,0.9971054300075977
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.9872532378384495,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.1,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.8734842263540036,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.2,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.9872532378384495,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.3,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.8734842263540036,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.4,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.8734842263540036,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.5,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.891473950932327,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.6,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.7973582347955402,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.7,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.8209101551584679,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.8,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.8208791147314985,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.9,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.8032365776547584,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,1,386,0.8036380527652368,0.8036380527652368,0.41755888650963596,0.17035077153084355,0.9971054300075977
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.MULTISET_DISTANCE,0,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.9872532378384495,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.MULTISET_DISTANCE,0.1,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.8734842263540036,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.MULTISET_DISTANCE,0.2,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.8734842263540036,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.MULTISET_DISTANCE,0.3,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.8734842263540036,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.MULTISET_DISTANCE,0.4,2,0.7466298567893299,0.7466298567893299,0.6666666666666666,0.8734842263540036,0.9930592553630786
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.MULTISET_DISTANCE,0.5,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.8208791147314985,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.MULTISET_DISTANCE,0.6,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.891473950932327,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.MULTISET_DISTANCE,0.7,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.8208791147314985,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.MULTISET_DISTANCE,0.8,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.7973582347955402,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.MULTISET_DISTANCE,0.9,10,0.6490187464125625,0.6490187464125625,0.6000000000000001,0.8209101551584679,0.9991095847442865
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,1,DistanceVariant.MULTISET_DISTANCE,1,386,0.8036380527652368,0.8036380527652368,0.41755888650963596,0.17586671330200088,0.9971054300075977
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.EDIT_DISTANCE,0,2,0.745784788325412,0.745784788325412,0.6633663366336633,0.9877391934697349,0.9924050290659497
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.EDIT_DISTANCE,0.1,2,0.745784788325412,0.745784788325412,0.6633663366336633,0.9877391934697349,0.9924050290659497
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.EDIT_DISTANCE,0.2,2,0.745784788325412,0.745784788325412,0.6633663366336633,0.8801674804222958,0.9924050290659497
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.EDIT_DISTANCE,0.3,3,0.6526912798614035,0.6526912798614035,0.6603773584905661,0.8880083632769755,0.9984287023715661
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.EDIT_DISTANCE,0.4,3,0.6526912798614035,0.6526912798614035,0.6603773584905661,0.8880083632769755,0.9984287023715661
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.EDIT_DISTANCE,0.5,6,0.676973189543022,0.676973189543022,0.6470588235294118,0.6688686180797827,0.9980319410764438
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.EDIT_DISTANCE,0.6,6,0.676973189543022,0.676973189543022,0.6470588235294118,0.6688686180797827,0.9980319410764438
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.EDIT_DISTANCE,0.7,6,0.676973189543022,0.676973189543022,0.6470588235294118,0.7116465434263801,0.9980319410764438
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.EDIT_DISTANCE,0.8,70,0.8020824492890435,0.8020824492890435,0.605095541401274,0.6305723632892831,0.9985653652697514
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.EDIT_DISTANCE,0.9,70,0.8020824492890435,0.8020824492890435,0.605095541401274,0.6600916691639408,0.9985653652697514
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.EDIT_DISTANCE,1,386,0.8036380527652368,0.8036380527652368,0.41755888650963596,0.167834413707467,0.9971054300075977
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.SET_DISTANCE,0,2,0.745784788325412,0.745784788325412,0.6633663366336633,0.8801674804222958,0.9924050290659497
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.SET_DISTANCE,0.1,2,0.745784788325412,0.745784788325412,0.6633663366336633,0.9877391934697349,0.9924050290659497
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.SET_DISTANCE,0.2,2,0.745784788325412,0.745784788325412,0.6633663366336633,0.9877391934697349,0.9924050290659497
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.SET_DISTANCE,0.3,2,0.6413721373959531,0.6413721373959531,0.6633663366336633,0.8830273341511556,0.9926126835182952
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.SET_DISTANCE,0.4,2,0.6413721373959531,0.6413721373959531,0.6633663366336633,0.8834503921856769,0.9926126835182952
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.SET_DISTANCE,0.5,4,0.8020719769126552,0.8020719769126552,0.6585365853658536,0.7946027083715343,0.9985653652697514
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.SET_DISTANCE,0.6,4,0.8020719769126552,0.8020719769126552,0.6585365853658536,0.7087245009558808,0.9985653652697514
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.SET_DISTANCE,0.7,4,0.8020719769126552,0.8020719769126552,0.6585365853658536,0.7087245009558808,0.9985653652697514
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.SET_DISTANCE,0.8,53,0.7753346053396116,0.7753346053396116,0.5567567567567567,0.49254985744351976,0.9993976108119764
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.SET_DISTANCE,0.9,53,0.7753346053396116,0.7753346053396116,0.5567567567567567,0.5065870561849732,0.9993976108119764
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.SET_DISTANCE,1,386,0.8036380527652368,0.8036380527652368,0.41755888650963596,0.17842961922815137,0.9971054300075977
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.MULTISET_DISTANCE,0,2,0.745784788325412,0.745784788325412,0.6633663366336633,0.8801674804222958,0.9924050290659497
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.MULTISET_DISTANCE,0.1,2,0.745784788325412,0.745784788325412,0.6633663366336633,0.9877391934697349,0.9924050290659497
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.MULTISET_DISTANCE,0.2,2,0.745784788325412,0.745784788325412,0.6633663366336633,0.9877391934697349,0.9924050290659497
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.MULTISET_DISTANCE,0.3,2,0.6413721373959531,0.6413721373959531,0.6633663366336633,0.8830273341511556,0.9926126835182952
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.MULTISET_DISTANCE,0.4,2,0.6413721373959531,0.6413721373959531,0.6633663366336633,0.8830273341511556,0.9926126835182952
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.MULTISET_DISTANCE,0.5,4,0.8020719769126552,0.8020719769126552,0.6585365853658536,0.8154927772429362,0.9985653652697514
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.MULTISET_DISTANCE,0.6,4,0.8020719769126552,0.8020719769126552,0.6585365853658536,0.8154927772429362,0.9985653652697514
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.MULTISET_DISTANCE,0.7,4,0.8020719769126552,0.8020719769126552,0.6585365853658536,0.795388376824443,0.9985653652697514
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.MULTISET_DISTANCE,0.8,53,0.7753346053396116,0.7753346053396116,0.5567567567567567,0.49254987064729094,0.9993976108119764
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.MULTISET_DISTANCE,0.9,53,0.7753346053396116,0.7753346053396116,0.5567567567567567,0.5066184285598045,0.9993976108119764
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,2,DistanceVariant.MULTISET_DISTANCE,1,386,0.8036380527652368,0.8036380527652368,0.41755888650963596,0.17068085327176108,0.9971054300075977
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,3,DistanceVariant.EDIT_DISTANCE,0,2,0.745784788325412,0.745784788325412,0.6633663366336633,0.8801674804222958,0.9924050290659497
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,3,DistanceVariant.EDIT_DISTANCE,0.1,2,0.745784788325412,0.745784788325412,0.6633663366336633,0.9877391934697349,0.9924050290659497
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,3,DistanceVariant.EDIT_DISTANCE,0.2,2,0.6413721373959531,0.6413721373959531,0.6633663366336633,0.8834503921856769,0.9926126835182952
real_logs/road_traffic_fines,500000,F,[],0.6010764810706622,0.6296296296296295,0.9918997769200403,0.9980176873024621,0,0,0,False,True,3,DistanceVariant.EDIT_DISTANCE,0.3,2,0.6413721373959531,0.6413721373959531,0.6633663366336633,0.8830273341511556,0.9926126835182952
