Name,max_number_of_traces,labels_to_split,original labels,original_precision,original_simplicity,original_generalization,original_fitness,Xixi number of Clusters found,Xixi Precision,Xixi ARI,use_combined_context,use_frequency,window_size,distance_metric,threshold,Number of Clusters found,Precision Align,ARI,Simplicity,Generalization,Fitness
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0,2,0.7987205099550251,0.7987205099550251,0.6666666666666666,0.9875464840997387,0.923164341306283
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.1,2,0.7987205099550251,0.7987205099550251,0.6666666666666666,0.9063514550144898,0.923164341306283
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.2,2,0.7987205099550251,0.7987205099550251,0.6666666666666666,0.9875464840997387,0.923164341306283
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.3,2,0.7987205099550251,0.7987205099550251,0.6666666666666666,0.9875464840997387,0.923164341306283
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.4,2,0.7987205099550251,0.7987205099550251,0.6666666666666666,0.9875464840997387,0.923164341306283
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.5,10,0.6590154302931495,0.6590154302931495,0.6146788990825688,0.833892214984927,0.9479086564618059
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.6,10,0.6590154302931495,0.6590154302931495,0.6146788990825688,0.9298439375873158,0.9479086564618059
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.7,10,0.6590154302931495,0.6590154302931495,0.6146788990825688,0.83310805844111,0.9479086564618059
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.8,10,0.6590154302931495,0.6590154302931495,0.6146788990825688,0.832216638110831,0.9479086564618059
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.9,10,0.6590154302931495,0.6590154302931495,0.6146788990825688,0.9298439375873158,0.9479086564618059
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,1,386,0.852734248440531,0.852734248440531,0.41098901098901097,0.144981775614053,0.9251339395784037
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0,2,0.7987205099550251,0.7987205099550251,0.6666666666666666,0.9063514550144898,0.923164341306283
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.1,2,0.7987205099550251,0.7987205099550251,0.6666666666666666,0.9875464840997387,0.923164341306283
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.2,2,0.7987205099550251,0.7987205099550251,0.6666666666666666,0.9875464840997387,0.923164341306283
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.3,2,0.7987205099550251,0.7987205099550251,0.6666666666666666,0.9875464840997387,0.923164341306283
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.4,2,0.7987205099550251,0.7987205099550251,0.6666666666666666,0.9875464840997387,0.923164341306283
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.5,10,0.6590154302931495,0.6590154302931495,0.6146788990825688,0.8539928196158726,0.9479086564618059
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.6,10,0.6590154302931495,0.6590154302931495,0.6146788990825688,0.8539928196158726,0.9479086564618059
real_logs/road_traffic_fines,500000,F,[],0.6397693946097944,0.6666666666666666,0.9880860799998613,0.923442037275273,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.7,10,0.6590154302931495,0.6590154302931495,0.6146788990825688,0.8539963049234953,0.9479086564618059
