Name,max_number_of_traces,labels_to_split,original labels,original_precision,original_simplicity,original_generalization,original_fitness,Xixi number of Clusters found,Xixi Precision,Xixi ARI,use_combined_context,use_frequency,window_size,distance_metric,threshold,Number of Clusters found,Precision Align,ARI,Simplicity,Generalization,Fitness
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0,2,0.6970871453160734,0.6970871453160734,0.6091954022988506,0.957799705710661,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.1,2,0.6970871453160734,0.6970871453160734,0.6091954022988506,0.9250201880997271,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.2,2,0.6970871453160734,0.6970871453160734,0.6091954022988506,0.9250201880997271,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.3,2,0.6970871453160734,0.6970871453160734,0.6091954022988506,0.9250201880997271,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.4,2,0.6970871453160734,0.6970871453160734,0.6091954022988506,0.9250201880997271,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.5,10,0.6451825927744852,0.6451825927744852,0.5922330097087379,0.9245284165116843,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.6,10,0.6451825927744852,0.6451825927744852,0.5922330097087379,0.9245284165116843,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.7,10,0.6451825927744852,0.6451825927744852,0.5922330097087379,0.9245284165116843,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.8,10,0.6451825927744852,0.6451825927744852,0.5922330097087379,0.9245284165116843,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,0.9,10,0.6451825927744852,0.6451825927744852,0.5922330097087379,0.9245284165116843,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.EDIT_DISTANCE,1,386,0.5411217163012225,0.5411217163012225,0.7610738255033558,0.15668984618819004,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0,2,0.6970871453160734,0.6970871453160734,0.6091954022988506,0.9250201880997271,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.1,2,0.6970871453160734,0.6970871453160734,0.6091954022988506,0.9250201880997271,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.2,2,0.6970871453160734,0.6970871453160734,0.6091954022988506,0.9250201880997271,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.3,2,0.6970871453160734,0.6970871453160734,0.6091954022988506,0.9250201880997271,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.4,2,0.6970871453160734,0.6970871453160734,0.6091954022988506,0.9250201880997271,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.5,10,0.6451825927744852,0.6451825927744852,0.5922330097087379,0.9245284165116843,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.6,10,0.6451825927744852,0.6451825927744852,0.5922330097087379,0.9245284165116843,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.7,10,0.6451825927744852,0.6451825927744852,0.5922330097087379,0.9245284165116843,1.0
real_logs/road_traffic_fines,500000,F,[],0.6961584875883737,0.6000000000000001,0.9539660554694417,1.0,0,0,0,False,True,1,DistanceVariant.SET_DISTANCE,0.8,10,0.6451825927744852,0.6451825927744852,0.5922330097087379,0.9245284165116843,1.0
