Name,unrefined_precision,unrefined_fitness,window_size,distance_metric,threshold,number_of_clusters_found,Precision,Fitness,Runtime
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.MULTISET_DISTANCE,0.25,3,0.227043202,0.945278251,0.183603525
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.MULTISET_DISTANCE,0.5,2,0.227043202,0.945278251,0.36710453
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.MULTISET_DISTANCE,0.75,21,0.292490792,0.972509568,0.181372166
environmental_permit,0.187946584,0.964335175,3,DistanceVariant.MULTISET_DISTANCE,1,124,0.291001086,0.912075272,0.169049501
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.EDIT_DISTANCE,0,3,0.22971706,0.977172406,0.248724461
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.EDIT_DISTANCE,0.25,2,0.22971706,0.976672269,0.202956676
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.EDIT_DISTANCE,0.5,3,0.352637796,0.964784747,0.285655499
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.EDIT_DISTANCE,0.75,34,0.333423029,0.971086655,0.382679224
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.EDIT_DISTANCE,1,189,0.3130034,0.970750773,0.190603018
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.SET_DISTANCE,0,2,0.22971706,0.976672269,0.216466665
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.SET_DISTANCE,0.25,3,0.22971706,0.976558941,0.191000462
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.SET_DISTANCE,0.5,3,0.347803852,0.9674284,0.205013752
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.SET_DISTANCE,0.75,11,0.338776133,0.969585181,0.170397043
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.SET_DISTANCE,1,158,0.313112619,0.970412256,0.306173325
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.MULTISET_DISTANCE,0,3,0.227043202,0.945440056,0.202923775
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.MULTISET_DISTANCE,0.25,2,0.22971706,0.976672269,0.209152699
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.MULTISET_DISTANCE,0.5,3,0.356302564,0.968058964,0.184223652
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.MULTISET_DISTANCE,0.75,15,0.327788168,0.969410215,0.16976738
environmental_permit,0.187946584,0.964335175,5,DistanceVariant.MULTISET_DISTANCE,1,168,0.3130034,0.970489188,0.289824724
